ISO,District,Sales
VN-D219,Huyện Lục Ngạn (Bắc Giang),100
VN-D220,Huyện Sơn Động (Bắc Giang),100
VN-D318,Huyện Bạch Long Vĩ (Hải Phòng),100
VN-D471,Huyện Cồn Cỏ (Quảng Trị),100
VN-D001,Quận Ba Đình (Hà Nội),100
VN-D002,Quận Hoàn Kiếm (Hà Nội),100
VN-D003,Quận Tây Hồ (Hà Nội),100
VN-D004,Quận Long Biên (Hà Nội),100
VN-D005,Quận Cầu Giấy (Hà Nội),100
VN-D006,Quận Đống Đa (Hà Nội),100
VN-D169,Huyện Đồng Hỷ (Thái Nguyên),100
VN-D007,Quận Hai Bà Trưng (Hà Nội),100
VN-D008,Quận Hoàng Mai (Hà Nội),100
VN-D009,Quận Thanh Xuân (Hà Nội),100
VN-D016,Huyện Sóc Sơn (Hà Nội),100
VN-D017,Huyện Đông Anh (Hà Nội),100
VN-D018,Huyện Gia Lâm (Hà Nội),100
VN-D135,Huyện Lục Yên (Yên Bái),100
VN-D280,Huyện Phú Xuyên (Hà Nội),100
VN-D281,Huyện Ứng Hòa (Hà Nội),100
VN-D151,Huyện Kỳ Sơn (Hoà Bình),100
VN-D152,Huyện Lương Sơn (Hoà Bình),100
VN-D034,Huyện Bắc Quang (Hà Giang),100
VN-D035,Huyện Quang Bình (Hà Giang),100
VN-D384,Huyện Mường Lát (Thanh Hóa),100
VN-D138,Huyện Trấn Yên (Yên Bái),100
VN-D167,Huyện Định Hóa (Thái Nguyên),100
VN-D122,Huyện Phù Yên (Sơn La),100
VN-D020,Huyện Thanh Trì (Hà Nội),100
VN-D157,Huyện Lạc Sơn (Hoà Bình),100
VN-D584,Huyện Bác Ái (Ninh Thuận),100
VN-D585,Huyện Ninh Sơn (Ninh Thuận),100
VN-D586,Huyện Ninh Hải (Ninh Thuận),100
VN-D588,Huyện Thuận Bắc (Ninh Thuận),100
VN-D847,Huyện Châu Thành (Trà Vinh),100
VN-D126,Huyện Sông Mã (Sơn La),100
VN-D293,Huyện Kim Thành (Hải Dương),100
VN-D300,Huyện Thanh Miện (Hải Dương),100
VN-D233,Huyện Phù Ninh (Phú Thọ),100
VN-D207,Huyện Cô Tô (Quảng Ninh),100
VN-D213,Thành phố Bắc Giang (Bắc Giang),100
VN-D381,Thị xã Bỉm Sơn (Thanh Hóa),100
VN-D382,Thành phố Sầm Sơn (Thanh Hóa),100
VN-D761,Quận 12 (Hồ Chí Minh),100
VN-D888,Huyện Phú Tân (An Giang),100
VN-D890,Huyện Tịnh Biên (An Giang),100
VN-D164,Thành phố Thái Nguyên (Thái Nguyên),100
VN-D168,Huyện Phú Lương (Thái Nguyên),100
VN-D215,Huyện Yên Thế (Bắc Giang),100
VN-D731,Thành phố Biên Hòa (Đồng Nai),100
VN-D795,Thị xã Kiến Tường (Long An),100
VN-D798,Huyện Mộc Hóa (Long An),100
VN-D272,Huyện Phúc Thọ (Hà Nội),100
VN-D314,Huyện Kiến Thuỵ (Hải Phòng),100
VN-D311,Huyện Thuỷ Nguyên (Hải Phòng),100
VN-D525,Huyện Trà Bồng (Quảng Ngãi),100
VN-D526,Huyện Tây Trà (Quảng Ngãi),100
VN-D522,Thành phố Quảng Ngãi (Quảng Ngãi),100
VN-D527,Huyện Sơn Tịnh (Quảng Ngãi),100
VN-D032,Huyện Hoàng Su Phì (Hà Giang),100
VN-D033,Huyện Xín Mần (Hà Giang),100
VN-D052,Huyện Nguyên Bình (Cao Bằng),100
VN-D107,Huyện Mường Tè (Lai Châu),100
VN-D112,Huyện Nậm Nhùn (Lai Châu),100
VN-D108,Huyện Sìn Hồ (Lai Châu),100
VN-D109,Huyện Phong Thổ (Lai Châu),100
VN-D227,Thành phố Việt Trì (Phú Thọ),100
VN-D549,Thị xã An Nhơn (Bình Định),100
VN-D739,Huyện Cẩm Mỹ (Đồng Nai),100
VN-D740,Huyện Long Thành (Đồng Nai),100
VN-D053,Huyện Thạch An (Cao Bằng),100
VN-D966,Huyện U Minh (Cà Mau),100
VN-D967,Huyện Thới Bình (Cà Mau),100
VN-D172,Thị xã Phổ Yên (Thái Nguyên),100
VN-D173,Huyện Phú Bình (Thái Nguyên),100
VN-D181,Huyện Bình Gia (Lạng Sơn),100
VN-D648,Huyện Cư M'gar (Đắk Lắk),100
VN-D644,Thị Xã Buôn Hồ (Đắk Lắk),100
VN-D649,Huyện Krông Búk (Đắk Lắk),100
VN-D426,Huyện Yên Thành (Nghệ An),100
VN-D427,Huyện Đô Lương (Nghệ An),100
VN-D455,Huyện Bố Trạch (Quảng Bình),100
VN-D723,Thị xã Tân Uyên (Bình Dương),100
VN-D726,Huyện Bắc Tân Uyên (Bình Dương),100
VN-D150,Huyện Đà Bắc (Hoà Bình),100
VN-D156,Huyện Mai Châu (Hoà Bình),100
VN-D235,Huyện Cẩm Khê (Phú Thọ),100
VN-D236,Huyện Tam Nông (Phú Thọ),100
VN-D330,Huyện Khoái Châu (Hưng Yên),100
VN-D331,Huyện Kim Động (Hưng Yên),100
VN-D391,Huyện Thạch Thành (Thanh Hóa),100
VN-D313,Huyện An Lão (Hải Phòng),100
VN-D309,Quận Dương Kinh (Hải Phòng),100
VN-D344,Huyện Vũ Thư (Thái Bình),100
VN-D237,Huyện Lâm Thao (Phú Thọ),100
VN-D824,Huyện Gò Công Đông (Tiền Giang),100
VN-D816,Thị xã Gò Công (Tiền Giang),100
VN-D899,Thành phố Rạch Giá (Kiên Giang),100
VN-D900,Thị xã Hà Tiên (Kiên Giang),100
VN-D832,Huyện Chợ Lách (Bến Tre),100
VN-D838,Huyện Mỏ Cày Bắc (Bến Tre),100
VN-D540,Thành phố Qui Nhơn (Bình Định),100
VN-D551,Huyện Vân Canh (Bình Định),100
VN-D555,Thành phố Tuy Hoà (Phú Yên),100
VN-D045,Huyện Hà Quảng (Cao Bằng),100
VN-D836,Huyện Ba Tri (Bến Tre),100
VN-D833,Huyện Mỏ Cày Nam (Bến Tre),100
VN-D923,Quận Thốt Nốt (Cần Thơ),100
VN-D925,Huyện Cờ Đỏ (Cần Thơ),100
VN-D625,Huyện KBang (Gia Lai),100
VN-D568,Thành phố Nha Trang (Khánh Hòa),100
VN-D183,Huyện Cao Lộc (Lạng Sơn),100
VN-D271,Huyện Ba Vì (Hà Nội),100
VN-D046,Huyện Trà Lĩnh (Cao Bằng),100
VN-D047,Huyện Trùng Khánh (Cao Bằng),100
VN-D465,Huyện Hướng Hóa (Quảng Trị),100
VN-D466,Huyện Gio Linh (Quảng Trị),100
VN-D417,Huyện Kỳ Sơn (Nghệ An),100
VN-D304,Quận Ngô Quyền (Hải Phòng),100
VN-D024,Thành phố Hà Giang (Hà Giang),100
VN-D030,Huyện Vị Xuyên (Hà Giang),100
VN-D239,Huyện Thanh Thuỷ (Phú Thọ),100
VN-D274,Huyện Hoài Đức (Hà Nội),100
VN-D275,Huyện Quốc Oai (Hà Nội),100
VN-D388,Huyện Lang Chánh (Thanh Hóa),100
VN-D389,Huyện Ngọc Lặc (Thanh Hóa),100
VN-D718,Thành phố Thủ Dầu Một (Bình Dương),100
VN-D722,Huyện Phú Giáo (Bình Dương),100
VN-D725,Thị xã Thuận An (Bình Dương),100
VN-D469,Huyện Triệu Phong (Quảng Trị),100
VN-D470,Huyện Hải Lăng (Quảng Trị),100
VN-D462,Thị xã Quảng Trị (Quảng Trị),100
VN-D474,Thành phố Huế (Thừa Thiên Huế),100
VN-D476,Huyện Phong Điền (Thừa Thiên Huế),100
VN-D481,Huyện A Lưới (Thừa Thiên Huế),100
VN-D598,Huyện Hàm Thuận Nam (Bình Thuận),100
VN-D762,Quận Thủ Đức (Hồ Chí Minh),100
VN-D392,Huyện Hà Trung (Thanh Hóa),100
VN-D637,Huyện Krông Pa (Gia Lai),100
VN-D548,Huyện Phù Cát (Bình Định),100
VN-D763,Quận 9 (Hồ Chí Minh),100
VN-D764,Quận Gò Vấp (Hồ Chí Minh),100
VN-D119,Huyện Thuận Châu (Sơn La),100
VN-D120,Huyện Mường La (Sơn La),100
VN-D121,Huyện Bắc Yên (Sơn La),100
VN-D153,Huyện Kim Bôi (Hoà Bình),100
VN-D159,Huyện Lạc Thủy (Hoà Bình),100
VN-D154,Huyện Cao Phong (Hoà Bình),100
VN-D258,Huyện Yên Phong (Bắc Ninh),100
VN-D256,Thành phố Bắc Ninh (Bắc Ninh),100
VN-D259,Huyện Quế Võ (Bắc Ninh),100
VN-D387,Huyện Quan Sơn (Thanh Hóa),100
VN-D393,Huyện Vĩnh Lộc (Thanh Hóa),100
VN-D394,Huyện Yên Định (Thanh Hóa),100
VN-D404,Huyện Nông Cống (Thanh Hóa),100
VN-D420,Huyện Quỳ Hợp (Nghệ An),100
VN-D406,Huyện Quảng Xương (Thanh Hóa),100
VN-D141,Huyện Yên Bình (Yên Bái),100
VN-D082,Huyện Bát Xát (Lào Cai),100
VN-D083,Huyện Mường Khương (Lào Cai),100
VN-D084,Huyện Si Ma Cai (Lào Cai),100
VN-D085,Huyện Bắc Hà (Lào Cai),100
VN-D186,Huyện Hữu Lũng (Lạng Sơn),100
VN-D187,Huyện Chi Lăng (Lạng Sơn),100
VN-D529,Huyện Sơn Hà (Quảng Ngãi),100
VN-D530,Huyện Sơn Tây (Quảng Ngãi),100
VN-D544,Huyện Hoài Ân (Bình Định),100
VN-D490,Quận Liên Chiểu (Đà Nẵng),100
VN-D519,Huyện Nông Sơn (Quảng Nam),100
VN-D509,Huyện Quế Sơn (Quảng Nam),100
VN-D510,Huyện Nam Giang (Quảng Nam),100
VN-D428,Huyện Thanh Chương (Nghệ An),100
VN-D429,Huyện Nghi Lộc (Nghệ An),100
VN-D421,Huyện Quỳnh Lưu (Nghệ An),100
VN-D432,Thị xã Hoàng Mai (Nghệ An),100
VN-D550,Huyện Tuy Phước (Bình Định),100
VN-D060,Huyện Pác Nặm (Bắc Kạn),100
VN-D061,Huyện Ba Bể (Bắc Kạn),100
VN-D062,Huyện Ngân Sơn (Bắc Kạn),100
VN-D097,Huyện Mường Chà (Điện Biên),100
VN-D103,Huyện Nậm Pồ (Điện Biên),100
VN-D101,Huyện Điện Biên Đông (Điện Biên),100
VN-D098,Huyện Tủa Chùa (Điện Biên),100
VN-D125,Huyện Mai Sơn (Sơn La),100
VN-D514,Huyện Tiên Phước (Quảng Nam),100
VN-D515,Huyện Bắc Trà My (Quảng Nam),100
VN-D418,Huyện Tương Dương (Nghệ An),100
VN-D867,Thành phố Sa Đéc (Đồng Tháp),100
VN-D760,Quận 1 (Hồ Chí Minh),100
VN-D545,Huyện Phù Mỹ (Bình Định),100
VN-D804,Huyện Thủ Thừa (Long An),100
VN-D405,Huyện Đông Sơn (Thanh Hóa),100
VN-D380,Thành phố Thanh Hóa (Thanh Hóa),100
VN-D407,Huyện Tĩnh Gia (Thanh Hóa),100
VN-D876,Huyện Lai Vung (Đồng Tháp),100
VN-D303,Quận Hồng Bàng (Hải Phòng),100
VN-D261,Thị xã Từ Sơn (Bắc Ninh),100
VN-D372,Huyện Nho Quan (Ninh Bình),100
VN-D182,Huyện Văn Lãng (Lạng Sơn),100
VN-D305,Quận Lê Chân (Hải Phòng),100
VN-D317,Huyện Cát Hải (Hải Phòng),100
VN-D064,Huyện Chợ Đồn (Bắc Kạn),100
VN-D065,Huyện Chợ Mới (Bắc Kạn),100
VN-D051,Huyện Hoà An (Cao Bằng),100
VN-D040,Thành phố Cao Bằng (Cao Bằng),100
VN-D269,Thị xã Sơn Tây (Hà Nội),100
VN-D298,Huyện Tứ Kỳ (Hải Dương),100
VN-D299,Huyện Ninh Giang (Hải Dương),100
VN-D336,Thành phố Thái Bình (Thái Bình),100
VN-D366,Huyện Hải Hậu (Nam Định),100
VN-D071,Huyện Lâm Bình (Tuyên Quang),100
VN-D072,Huyện Nà Hang (Tuyên Quang),100
VN-D073,Huyện Chiêm Hóa (Tuyên Quang),100
VN-D136,Huyện Văn Yên (Yên Bái),100
VN-D238,Huyện Thanh Sơn (Phú Thọ),100
VN-D240,Huyện Tân Sơn (Phú Thọ),100
VN-D155,Huyện Tân Lạc (Hoà Bình),100
VN-D524,Huyện Bình Sơn (Quảng Ngãi),100
VN-D564,Huyện Đông Hòa (Phú Yên),100
VN-D562,Huyện Tây Hoà (Phú Yên),100
VN-D563,Huyện Phú Hoà (Phú Yên),100
VN-D019,Quận Nam Từ Liêm (Hà Nội),100
VN-D021,Quận Bắc Từ Liêm (Hà Nội),100
VN-D031,Huyện Bắc Mê (Hà Giang),100
VN-D042,Huyện Bảo Lâm (Cao Bằng),100
VN-D043,Huyện Bảo Lạc (Cao Bằng),100
VN-D206,Thị xã Quảng Yên (Quảng Ninh),100
VN-D196,Thành phố Uông Bí (Quảng Ninh),100
VN-D223,Huyện Hiệp Hòa (Bắc Giang),100
VN-D400,Huyện Hậu Lộc (Thanh Hóa),100
VN-D848,Huyện Cầu Ngang (Trà Vinh),100
VN-D849,Huyện Trà Cú (Trà Vinh),100
VN-D075,Huyện Yên Sơn (Tuyên Quang),100
VN-D070,Thành phố Tuyên Quang (Tuyên Quang),100
VN-D076,Huyện Sơn Dương (Tuyên Quang),100
VN-D099,Huyện Tuần Giáo (Điện Biên),100
VN-D102,Huyện Mường Ảng (Điện Biên),100
VN-D100,Huyện Điện Biên (Điện Biên),100
VN-D399,Huyện Hoằng Hóa (Thanh Hóa),100
VN-D263,Huyện Gia Bình (Bắc Ninh),100
VN-D803,Huyện Bến Lức (Long An),100
VN-D622,Thành phố Pleiku (Gia Lai),100
VN-D708,Huyện Châu Thành (Tây Ninh),100
VN-D817,Thị xã Cai Lậy (Tiền Giang),100
VN-D902,Huyện Kiên Lương (Kiên Giang),100
VN-D906,Huyện Giồng Riềng (Kiên Giang),100
