ISO,Province,Sales
VN-AGI,An Giang,100
VN-BNI,Bắc Ninh,100
VN-CBA,Cao Bằng,100
VN-CMA,Cà Mau,100
VN-CTH,Cần Thơ,100
VN-DBI,Điện Biên,5000
VN-DLA,Đắk Lắk,100
VN-DNA,Đà Nẵng,4000
VN-DNI,Đồng Nai,100
VN-DTH,Đồng Tháp,100
VN-GLA,Gia Lai,3000
VN-HCM,Hồ Chí Minh,100
VN-HNO,Hà Nội,100
VN-HPH,Hải Phòng,100
VN-HTI,Hà Tĩnh,100
VN-HYE,Hưng Yên,2000
VN-KHO,Khánh Hòa,100
VN-LCA,Lào Cai,100
VN-LCH,Lai Châu,100
VN-LDO,Lâm Đồng,100
VN-LSO,Lạng Sơn,100
VN-NAN,Nghệ An,100
VN-NBI,Ninh Bình,100
VN-PTH,Phú Thọ,100
VN-QNG,Quảng Ngãi,100
VN-QNI,Quảng Ninh,100
VN-QTR,Quảng Trị,100
VN-SLA,Sơn La,100
VN-THO,Thanh Hóa,100
VN-TNG,Thái Nguyên,100
VN-TNI,Tây Ninh,100
VN-TQU,Tuyên Quang,100
VN-TTH,Huế,100
VN-VLO,Vĩnh Long,100
