ISO,Province,Sales
VN-28,Kon Tum,100
VN-72,Đắk Nông,100
VN-33,Đắk Lắk,100
VN-30,Gia Lai,100
VN-58,Bình Phước,100
VN-37,Tây Ninh,100
VN-41,Long An,100
VN-45,Đồng Tháp,100
VN-44,An Giang,100
VN-47,Kiên Giang,100
VN-71,Điện Biên,100
VN-05,Sơn La,100
VN-21,Thanh Hóa,100
VN-22,Nghệ An,100
VN-23,Hà Tĩnh,100
VN-24,Quảng Bình,100
VN-25,Quảng Trị,100
VN-26,Thừa Thiên - Huế,100
VN-27,Quảng Nam,100
VN-03,Hà Giang,100
VN-04,Cao Bằng,100
VN-02,Lào Cai,100
VN-01,Lai Châu,100
VN-09,Lạng Sơn,100
VN-13,Quảng Ninh,100
VN-52,Sóc Trăng,100
VN-46,Tiền Giang,100
VN-43,Bà Rịa - Vũng Tàu,100
VN-SG,Thành phố Hồ Chí Minh,100
VN-34,Khánh Hòa,100
VN-59,Cà Mau,100
VN-55,Bạc Liêu,100
VN-73,Hậu Giang,100
VN-49,Vĩnh Long,100
VN-51,Trà Vinh,100
VN-50,Bến Tre,100
VN-39,Đồng Nai,100
VN-40,Bình Thuận,100
VN-36,Ninh Thuận,100
VN-32,Phú Yên,100
VN-31,Bình Định,100
VN-29,Quảng Ngãi,100
VN-DN,Đà Nẵng,100
VN-18,Ninh Bình,100
VN-67,Nam Định,100
VN-20,Thái Bình,100
VN-HP,Hải Phòng,100
VN-14,Hòa Bình,100
VN-07,Tuyên Quang,100
VN-06,Yên Bái,100
VN-70,Vĩnh Phúc,100
VN-68,Phú Thọ,100
VN-HN,Hà Nội,1000
VN-53,Bắc Kạn,100
VN-66,Hưng Yên,100
VN-56,Bắc Ninh,100
VN-54,Bắc Giang,100
VN-69,Thái Nguyên,100
VN-61,Hải Dương,100
VN-63,Hà Nam,500
VN-57,Bình Dương,100
VN-35,Lâm Đồng,100
VN-CT,Cần Thơ,100
