province_code_old,province_old_prefix,province_old,province_code_new,province_new_prefix,province_new,
AGI,An Giang,Tỉnh An Giang,AGI,An Giang,Tỉnh An Giang,
KGI,Kiên Giang,Tỉnh Kiên Giang,AGI,An Giang,Tỉnh An Giang,
BGI,Bắc Giang,Tỉnh Bắc Giang,BNI,Bắc Ninh,Tỉnh Bắc Ninh,
BNI,Bắc Ninh,Tỉnh Bắc Ninh,BNI,Bắc Ninh,Tỉnh Bắc Ninh,
BKA,Bắc Kạn,Tỉnh Bắc Kạn,TNG,Thái Nguyên,Tỉnh Thái Nguyên,
TNG,Thái Nguyên,Tỉnh Thái Nguyên,TNG,Thái Nguyên,Tỉnh Thái Nguyên,
HGA,Hà Giang,Tỉnh Hà Giang,TQU,Tuyên Quang,Tỉnh Tuyên Quang,
TQU,Tuyên Quang,Tỉnh Tuyên Quang,TQU,Tuyên Quang,Tỉnh Tuyên Quang,
LCA,Lào Cai,Tỉnh Lào Cai,LCA,Lào Cai,Tỉnh Lào Cai,
YBA,Yên Bái,Tỉnh Yên Bái,LCA,Lào Cai,Tỉnh Lào Cai,
HBI,Hòa Bình,Tỉnh Hòa Bình,PTH,Phú Thọ,Tỉnh Phú Thọ,
VPH,Vĩnh Phúc,Tỉnh Vĩnh Phúc,PTH,Phú Thọ,Tỉnh Phú Thọ,
PTH,Phú Thọ,Tỉnh Phú Thọ,PTH,Phú Thọ,Tỉnh Phú Thọ,
HNA,Hà Nam,Tỉnh Hà Nam,NBI,Ninh Bình,Tỉnh Ninh Bình,
NDI,Nam Định,Tỉnh Nam Định,NBI,Ninh Bình,Tỉnh Ninh Bình,
NBI,Ninh Bình,Tỉnh Ninh Bình,NBI,Ninh Bình,Tỉnh Ninh Bình,
TBI,Thái Bình,Tỉnh Thái Bình,HYE,Hưng Yên,Tỉnh Hưng Yên,
HYE,Hưng Yên,Tỉnh Hưng Yên,HYE,Hưng Yên,Tỉnh Hưng Yên,
HDU,Hải Dương,Tỉnh Hải Dương,HPH,Hải Phòng,Thành phố Hải Phòng,
HPH,Hải Phòng,Thành phố Hải Phòng,HPH,Hải Phòng,Thành phố Hải Phòng,
QBI,Quảng Bình,Tỉnh Quảng Bình,QTR,Quảng Trị,Tỉnh Quảng Trị,
QTR,Quảng Trị,Tỉnh Quảng Trị,QTR,Quảng Trị,Tỉnh Quảng Trị,
QNA,Quảng Nam,Tỉnh Quảng Nam,DNA,Đà Nẵng,Thành phố Đà Nẵng,
DNA,Đà Nẵng,Thành phố Đà Nẵng,DNA,Đà Nẵng,Thành phố Đà Nẵng,
KON,Kon Tum,Tỉnh Kon Tum,QNG,Quảng Ngãi,Tỉnh Quảng Ngãi,
QNG,Quảng Ngãi,Tỉnh Quảng Ngãi,QNG,Quảng Ngãi,Tỉnh Quảng Ngãi,
BDI,Bình Định,Tỉnh Bình Định,GLA,Gia Lai,Tỉnh Gia Lai,
GLA,Gia Lai,Tỉnh Gia Lai,GLA,Gia Lai,Tỉnh Gia Lai,
NTH,Ninh Thuận,Tỉnh Ninh Thuận,KHO,Khánh Hòa,Tỉnh Khánh Hòa,
KHO,Khánh Hòa,Tỉnh Khánh Hòa,KHO,Khánh Hòa,Tỉnh Khánh Hòa,
BTH,Bình Thuận,Tỉnh Bình Thuận,LDO,Lâm Đồng,Tỉnh Lâm Đồng,
DNO,Đắk Nông,Tỉnh Đắk Nông,LDO,Lâm Đồng,Tỉnh Lâm Đồng,
LDO,Lâm Đồng,Tỉnh Lâm Đồng,LDO,Lâm Đồng,Tỉnh Lâm Đồng,
DLA,Đắk Lắk,Tỉnh Đắk Lắk,DLA,Đắk Lắk,Tỉnh Đắk Lắk,
PYE,Phú Yên,Tỉnh Phú Yên,DLA,Đắk Lắk,Tỉnh Đắk Lắk,
BRV,Bà Rịa - Vũng Tàu,Tỉnh Bà Rịa - Vũng Tàu,HCM,Hồ Chí Minh,Thành phố Hồ Chí Minh,
BDU,Bình Dương,Tỉnh Bình Dương,HCM,Hồ Chí Minh,Thành phố Hồ Chí Minh,
HCM,Hồ Chí Minh,Thành phố Hồ Chí Minh,HCM,Hồ Chí Minh,Thành phố Hồ Chí Minh,
BPH,Bình Phước,Tỉnh Bình Phước,DNI,Đồng Nai,Tỉnh Đồng Nai,
DNI,Đồng Nai,Tỉnh Đồng Nai,DNI,Đồng Nai,Tỉnh Đồng Nai,
LAN,Long An,Tỉnh Long An,TNI,Tây Ninh,Tỉnh Tây Ninh,
TNI,Tây Ninh,Tỉnh Tây Ninh,TNI,Tây Ninh,Tỉnh Tây Ninh,
CTH,Cần Thơ,Thành phố Cần Thơ,CTH,Cần Thơ,Thành phố Cần Thơ,
STR,Sóc Trăng,Tỉnh Sóc Trăng,CTH,Cần Thơ,Thành phố Cần Thơ,
HGI,Hậu Giang,Tỉnh Hậu Giang,CTH,Cần Thơ,Thành phố Cần Thơ,
BTR,Bến Tre,Tỉnh Bến Tre,VLO,Vĩnh Long,Tỉnh Vĩnh Long,
TVI,Trà Vinh,Tỉnh Trà Vinh,VLO,Vĩnh Long,Tỉnh Vĩnh Long,
VLO,Vĩnh Long,Tỉnh Vĩnh Long,VLO,Vĩnh Long,Tỉnh Vĩnh Long,
TGI,Tiền Giang,Tỉnh Tiền Giang,DTH,Đồng Tháp,Tỉnh Đồng Tháp,
DTH,Đồng Tháp,Tỉnh Đồng Tháp,DTH,Đồng Tháp,Tỉnh Đồng Tháp,
BLI,Bạc Liêu,Tỉnh Bạc Liêu,CMA,Cà Mau,Tỉnh Cà Mau,
CMA,Cà Mau,Tỉnh Cà Mau,CMA,Cà Mau,Tỉnh Cà Mau,
CBA,Cao Bằng,Tỉnh Cao Bằng,CBA,Cao Bằng,Tỉnh Cao Bằng,
LSO,Lạng Sơn,Tỉnh Lạng Sơn,LSO,Lạng Sơn,Tỉnh Lạng Sơn,
QNI,Quảng Ninh,Tỉnh Quảng Ninh,QNI,Quảng Ninh,Tỉnh Quảng Ninh,
SLA,Sơn La,Tỉnh Sơn La,SLA,Sơn La,Tỉnh Sơn La,
LCH,Lai Châu,Tỉnh Lai Châu,LCH,Lai Châu,Tỉnh Lai Châu,
DBI,Điện Biên,Tỉnh Điện Biên,DBI,Điện Biên,Tỉnh Điện Biên,
THO,Thanh Hóa,Tỉnh Thanh Hóa,THO,Thanh Hóa,Tỉnh Thanh Hóa,
NAN,Nghệ An,Tỉnh Nghệ An,NAN,Nghệ An,Tỉnh Nghệ An,
HTI,Hà Tĩnh,Tỉnh Hà Tĩnh,HTI,Hà Tĩnh,Tỉnh Hà Tĩnh,
HNO,Hà Nội,Thành phố Hà Nội,HNO,Hà Nội,Thành phố Hà Nội,
TTH,Huế,Thành phố Huế,TTH,Huế,Thành phố Huế,
